Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C15, C16, C19, C20, C21, C5, C6, C7, C8",0805,13,100nF,C49678
"C14, C17, C18",1206,3,22µF,C12891
"C2, C3, C40",0805,3,1µF,C28323
C22,1206,1,4.7μF,C29823
"C24, C28, C30, C34, C36",0805,5,1μF/25V,C28323
C26,1206,1,4.7μF/50V,C29823
C27,0805,1,1μF/10V,C28323
"C32, C38",0805,2,1μF/50V,C28323
"C4, C9",0805,2,10µF,C440198
"D2, D3, D4",SOD-123_L2.8-W1.8-LS3.7-RD,3,MBR0530,C18863
D5,SOD-123F_L2.8-W1.8-LS3.7-RD,1,SMF5.0A,C169426
D6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
F1,F1206,1,1A/24V,C7542957
LED1,LED-SMD_L1.6-W0.8-R-RD,1,KT-0603R,C2286
"LED2, LED3",LED0805-R-RD,2,0805G,C2297
P1,FPC-SMD_AFC11-S24ICC-00,1,Display,C11075
Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,BSS138LT1G,C82045
"Q2, Q3",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,2,AO3401A,C15127
R1,0805,1,4.7Ω,C17675
R10,0805,1,2.2Ω,C17521
"R11, R13, R16",0805,3,1Ω,C25271
"R12, R15",0805,2,220Ω,C17557
R14,0805,1,1kΩ,C17513
"R17, R19",0805,2,100kΩ,C149504
"R18, R6, R7",0805,3,4.7kΩ,C17673
"R2, R3",0805,2,5.1kΩ,C27834
"R4, R5, R8, R9",0805,4,10kΩ,C17414
SW1,SW-SMD_L3.9-W3.0-P4.45,1,Reboot,C720477
SW2,SW-SMD_L3.9-W3.0-P4.45,1,Flash,C720477
SW3,SW-SMD_L3.9-W3.0-P4.45,1,Test Button,C720477
SW4,SW-SMD_MSK12CO2,1,MINI MSK12CO2,C2681570
U1,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1-N8,C5366877
U2,LGA-20_L10.1-W10.1-P1.25-TL,1,SCD41,C3659294
U3,DFN-6_L2.4-W2.4-P0.80-TL-EP,1,SGP41,C3659325
U4,DFN-4_L1.5-W1.5-SHT41-AD1B-R2,1,SHT41,C7461861
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U6,IND-SMD_L4.5-W4.0,1,10μH,C2929419
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
