Designator,Mid X,Mid Y,Rotation,Layer
C1,121.4,-142.0,90.0,top
C10,142.25,-104.75,90.0,top
C12,145.6,-119.0,270.0,top
C13,135.75,-126.3,180.0,top
C14,128.975,-112.8,0.0,top
C15,125.65,-112.25,90.0,top
C16,116.7,-112.35,90.0,top
C17,116.8,-116.375,270.0,top
C18,145.5,-134.825,90.0,top
C19,138.15,-147.2,90.0,top
C2,167.3,-141.7,90.0,top
C20,127.1,-106.0,270.0,top
C21,144.65,-147.4,180.0,top
C22,145.5,-130.225,270.0,top
C24,148.05,-147.4,180.0,top
C26,136.425,-137.9,0.0,top
C27,151.45,-147.4,180.0,top
C28,149.85,-138.8,270.0,top
C3,162.55,-139.0,180.0,top
C30,151.85,-138.8,270.0,top
C32,158.5,-147.65,180.0,top
C34,153.85,-138.8,270.0,top
C36,158.5,-145.65,180.0,top
C38,155.85,-138.8,270.0,top
C4,171.1,-121.9,0.0,top
C40,140.25,-104.75,90.0,top
C5,171.1,-123.9,0.0,top
C6,165.95,-139.0,0.0,top
C7,165.3,-141.7,90.0,top
C8,146.25,-104.75,90.0,top
C9,144.25,-104.75,90.0,top
D2,137.75,-134.05,270.0,top
D3,133.75,-134.03,90.0,top
D4,135.75,-134.04,90.0,top
D5,130.0,-102.55,270.0,top
D6,127.05,-102.45,180.0,top
F1,128.65,-99.2,0.0,top
LED1,172.9,-131.75,180.0,top
LED2,172.45,-136.9,180.0,top
LED3,172.4,-141.1,180.0,top
P1,147.71,-142.9,180.0,top
Q1,143.5,-138.94,270.0,top
Q2,140.95,-147.4,180.0,top
Q3,172.95,-127.0,90.0,top
R1,165.3125,-145.5,0.0,top
R10,155.275,-132.5,180.0,top
R11,148.9375,-132.9,0.0,top
R12,172.3875,-134.85,180.0,top
R13,148.925,-134.8,0.0,top
R14,172.95,-129.9,180.0,top
R15,172.3375,-139.1,180.0,top
R16,155.975,-129.6125,270.0,top
R17,136.2,-147.2125,90.0,top
R18,134.3,-147.2125,270.0,top
R19,173.75,-123.1875,90.0,top
R2,116.9,-94.5125,270.0,top
R3,117.0875,-98.4,0.0,top
R4,140.25,-108.5,90.0,top
R5,138.25,-104.7625,90.0,top
R6,142.25,-108.5,90.0,top
R7,144.25,-108.5,90.0,top
R8,138.25,-108.5,270.0,top
R9,137.8,-140.8,270.0,top
SW1,133.98,-101.6,0.0,top
SW2,133.98,-104.95,0.0,top
SW3,133.98,-109.7,180.0,top
SW4,151.675,-129.85,180.0,top
U1,157.3,-109.52,0.0,top
U2,164.3,-132.0,180.0,top
U3,162.27,-141.7,180.0,top
U4,118.05,-142.3,0.0,top
U5,121.2,-109.43,270.0,top
U6,141.55,-134.3,270.0,top
USB1,123.07,-93.63,180.0,top
